InstCode,Term,Year,EvalID,Form,CourseType,EvaluationType,Group,Enrollment,Questionnaires,CrossList,CollegeCode,CollegeText,SubCollegeCode,SubCollegeText,DepartmentCode,DepartmentText,CourseAbbrev,CourseNumber,Section,CourseTitle,Credits,MultInst,LastName,FirstName,MiddleName,Rank,EvalURL,AssignedInstructor
UWBOT,Winter,2011,8289,A,,1,    ,15,9,1,D,Interdisciplinary Arts & Sci.,D,Interdisciplinary Arts & Sci.,BIS,Interdisciplinary Arts and Sciences,BIS,300,D ,,5,1,Ottinger ,Gwen ,,3,,
UWBOT,Winter,2011,8290,A,,1,    ,30,24,1,D,Interdisciplinary Arts & Sci.,D,Interdisciplinary Arts & Sci.,BIS,Interdisciplinary Arts and Sciences,BIS,300,C ,,5,1,Krabill ,Ron ,,2,,
UWBOT,Winter,2011,8291,A,,1,    ,24,16,1,D,Interdisciplinary Arts & Sci.,D,Interdisciplinary Arts & Sci.,BIS,Interdisciplinary Arts and Sciences,BIS,300, B,,5,1,Turner ,Robert ,,3,,
UWBOT,Winter,2011,8292,A,,1,    ,32,27,1,D,Interdisciplinary Arts & Sci.,D,Interdisciplinary Arts & Sci.,BIS,Interdisciplinary Arts and Sciences,BIS,300,A ,,5,1,Ashbaugh ,Leslie ,,5,,
UWBOT,Winter,2011,8293,A,,1,    ,0,8,1,D,Interdisciplinary Arts & Sci.,D,Interdisciplinary Arts & Sci.,BIS,Interdisciplinary Arts and Sciences,BIS,493,B ,,0,1,Buck ,W ,,1,,
UWBOT,Winter,2011,8294,A,,1,    ,41,31,1,D,Interdisciplinary Arts & Sci.,D,Interdisciplinary Arts & Sci.,BIS,Interdisciplinary Arts and Sciences,BIS,293,A ,,5,1,Carlisle ,Shauna ,,4,,
UWBOT,Winter,2011,8295,A,,1,    ,0,20,1,D,Interdisciplinary Arts & Sci.,D,Interdisciplinary Arts & Sci.,BIS,Interdisciplinary Arts and Sciences,BIS,280,  ,,0,1,Farkasch ,Robert ,,4,,
UWBOT,Winter,2011,8296,A,,1,    ,0,30,1,D,Interdisciplinary Arts & Sci.,D,Interdisciplinary Arts & Sci.,BIS,Interdisciplinary Arts and Sciences,BIS,250,  ,,0,1,Warner , ,,6,,
UWBOT,Winter,2011,8297,A,,1,    ,18,14,1,D,Interdisciplinary Arts & Sci.,D,Interdisciplinary Arts & Sci.,BIS,Interdisciplinary Arts and Sciences,BIS,244,  ,,2,1,Lambert ,Amy,,8,,
UWBOT,Winter,2011,8298,A,,1,    ,41,23,1,D,Interdisciplinary Arts & Sci.,D,Interdisciplinary Arts & Sci.,BIS,Interdisciplinary Arts and Sciences,BIS,242,A ,,5,1,Lopez ,Santiago ,,3,,
UWBOT,Winter,2011,8299,A,,1,    ,35,29,1,D,Interdisciplinary Arts & Sci.,D,Interdisciplinary Arts & Sci.,BIS,Interdisciplinary Arts and Sciences,BIS,236,  ,,5,1,Gregory ,W,,4,,
UWBOT,Winter,2011,8300,A,,1,    ,0,26,1,D,Interdisciplinary Arts & Sci.,D,Interdisciplinary Arts & Sci.,BIS,Interdisciplinary Arts and Sciences,BIS,224,  ,,0,1,Kurian ,A ,,4,,
UWBOT,Winter,2011,8301,A,,1,    ,0,38,1,D,Interdisciplinary Arts & Sci.,D,Interdisciplinary Arts & Sci.,BIS,Interdisciplinary Arts and Sciences,BIS,220,  ,,0,1,Udell ,W ,,3,,
UWBOT,Winter,2011,8302,A,,1,    ,43,27,1,D,Interdisciplinary Arts & Sci.,D,Interdisciplinary Arts & Sci.,BIS,Interdisciplinary Arts and Sciences,BIS,209,  ,,5,1,Caplow ,Deborah,,5,,
UWBOT,Winter,2011,8303,A,,1,    ,27,26,1,D,Interdisciplinary Arts & Sci.,D,Interdisciplinary Arts & Sci.,BIS,Interdisciplinary Arts and Sciences,BIS,204,  ,,5,1,Gustafson , ,,5,,
UWBOT,Winter,2011,8304,A,,1,    ,36,26,1,D,Interdisciplinary Arts & Sci.,D,Interdisciplinary Arts & Sci.,BIS,Interdisciplinary Arts and Sciences,BES,485,  ,,5,1,Groom ,M ,,1,,
UWBOT,Winter,2011,8305,A,,1,    ,23,19,1,D,Interdisciplinary Arts & Sci.,D,Interdisciplinary Arts & Sci.,BIS,Interdisciplinary Arts and Sciences,BES,318,  ,,5,1,Turner ,Rqbert ,,3,,
UWBOT,Winter,2011,8306,X,,1,    ,0,8,1,D,Interdisciplinary Arts & Sci.,D,Interdisciplinary Arts & Sci.,BIS,Interdisciplinary Arts and Sciences,BES,311,  ,,0,1,Jackels , ,,1,,
UWBOT,Winter,2011,8307,A,,1,    ,18,17,1,D,Interdisciplinary Arts & Sci.,D,Interdisciplinary Arts & Sci.,BIS,Interdisciplinary Arts and Sciences,BCULST,589,  ,,5,1,Gardner ,Benjamin ,,8,,
UWBOT,Winter,2011,8308,A,,1,    ,9,7,1,D,Interdisciplinary Arts & Sci.,D,Interdisciplinary Arts & Sci.,BIS,Interdisciplinary Arts and Sciences,BCULST,584,  ,,5,1,Harewood ,Susan ,,3,,
UWBOT,Winter,2011,8309,A,,1,    ,0,4,1,D,Interdisciplinary Arts & Sci.,D,Interdisciplinary Arts & Sci.,BIS,Interdisciplinary Arts and Sciences,BCULST,582,  ,,0,1,Kocchar-Lindgren ,Kanta ,,1,,
UWBOT,Winter,2011,8310,A,,1,    ,7,6,1,D,Interdisciplinary Arts & Sci.,D,Interdisciplinary Arts & Sci.,BIS,Interdisciplinary Arts and Sciences,BISSKL,401,A ,,2,1,Hiebert ,Ted ,,3,,
UWBOT,Winter,2011,8311,A,,1,    ,7,5,1,D,Interdisciplinary Arts & Sci.,D,Interdisciplinary Arts & Sci.,BIS,Interdisciplinary Arts and Sciences,BISSKL,375,A ,,2,1,Atkinson ,Jennifer ,,5,,
UWBOT,Winter,2011,8312,A,,1,    ,17,14,1,D,Interdisciplinary Arts & Sci.,D,Interdisciplinary Arts & Sci.,BIS,Interdisciplinary Arts and Sciences,BISSKL,350,B ,,2,1,Wilson ,Kimberly ,,4,,
