InstCode,Term,Year,EvalID,Form,CourseType,EvaluationType,Group,Enrollment,Questionnaires,CrossList,CollegeCode,CollegeText,SubCollegeCode,SubCollegeText,DepartmentCode,DepartmentText,CourseAbbrev,CourseNumber,Section,CourseTitle,Credits,MultInst,LastName,FirstName,MiddleName,Rank,EvalURL,AssignedInstructor
UWTAC,Winter,2011,90831,B,,1,    ,34,28,1,F,Interdisciplinary Arts and Sci,F,Interdisciplinary Arts & Sci.,TIAS,Interdisciplinary Arts & Sciences,T HIST,416, A,,5,1,Hone ,Ymichael ,,1,,
UWTAC,Winter,2011,90832,A,,1,    ,40,32,1,F,Interdisciplinary Arts and Sci,F,Interdisciplinary Arts & Sci.,TIAS,Interdisciplinary Arts & Sciences,T LIT,240,AB,,5,1,Blair ,Nicole ,,5,,
UWTAC,Winter,2011,90833,C,,1,    ,8,7,1,F,Interdisciplinary Arts and Sci,F,Interdisciplinary Arts & Sci.,TIAS,Interdisciplinary Arts & Sciences,T HIST,515,A ,,5,1,Crawford ,Rob ,,1,,
UWTAC,Winter,2011,90834,A,,1,    ,38,29,1,F,Interdisciplinary Arts and Sci,F,Interdisciplinary Arts & Sci.,TIAS,Interdisciplinary Arts & Sciences,T HIST,457,A ,,5,1,Crawford ,Rob ,,1,,
UWTAC,Winter,2011,90835,A,,1,    ,14,9,1,F,Interdisciplinary Arts and Sci,F,Interdisciplinary Arts & Sci.,TIAS,Interdisciplinary Arts & Sciences,TCHIN,102,A ,,5,1,Bates ,Biwei Zhang ,,5,,
UWTAC,Winter,2011,90836,A,,1,    ,24,22,1,F,Interdisciplinary Arts and Sci,F,Interdisciplinary Arts & Sci.,TIAS,Interdisciplinary Arts & Sciences,T LIT,365,A ,,5,1,Reusch ,Johann ,,3,,
UWTAC,Winter,2011,90837,G,,1, IAS,40,30,1,F,Interdisciplinary Arts and Sci,F,Interdisciplinary Arts & Sci.,TIAS,Interdisciplinary Arts & Sciences,TPSYCH,100,AB,,5,1,Boothe ,Ronald ,,5,,
UWTAC,Winter,2011,90838,A,,1,IAS ,25,20,1,F,Interdisciplinary Arts and Sci,F,Interdisciplinary Arts & Sci.,TIAS,Interdisciplinary Arts & Sciences,TSPAN,102,A ,,5,1,Machine,Augustus,,4,,
UWTAC,Winter,2011,90839,C,,1,IAS ,40,37,1,F,Interdisciplinary Arts and Sci,F,Interdisciplinary Arts & Sci.,TIAS,Interdisciplinary Arts & Sciences,TESC,100,A ,,5,1,Masura ,Julie E ,,5,,
UWTAC,Winter,2011,90840,A,,1,    ,38,20,1,F,Interdisciplinary Arts and Sci,F,Interdisciplinary Arts & Sci.,TIAS,Interdisciplinary Arts & Sciences,T HIST,212,AB,,5,1,Nacy ,Michele ,,5,,
UWTAC,Winter,2011,90841,A,,1,    ,43,32,1,F,Interdisciplinary Arts and Sci,F,Interdisciplinary Arts & Sci.,TIAS,Interdisciplinary Arts & Sciences,T ARTS,210,  ,,5,1,Detray ,Stephen ,,5,,
UWTAC,Winter,2011,90842,A,,1,    ,45,33,1,F,Interdisciplinary Arts and Sci,F,Interdisciplinary Arts & Sci.,TIAS,Interdisciplinary Arts & Sciences,TESC,316,A ,,5,1,Williamson ,Alex ,,5,,
UWTAC,Winter,2011,90843,A,,1,    ,39,29,1,F,Interdisciplinary Arts and Sci,F,Interdisciplinary Arts & Sci.,TIAS,Interdisciplinary Arts & Sciences,TEST,335,  ,,5,1,Tetta,David,,5,,
UWTAC,Winter,2011,90844,G,,1,    ,43,37,1,F,Interdisciplinary Arts and Sci,F,Interdisciplinary Arts & Sci.,TIAS,Interdisciplinary Arts & Sciences,TPSYCH,321,  ,,5,1,Huckleberry ,Trista ,,3,,
UWTAC,Winter,2011,90845,A,,1,    ,10,10,1,F,Interdisciplinary Arts and Sci,F,Interdisciplinary Arts & Sci.,TIAS,Interdisciplinary Arts & Sciences,TESC,120,A ,,6,1,Heller ,Jutta ,,4,,
UWTAC,Winter,2011,90846,A,,1,    ,12,11,1,F,Interdisciplinary Arts and Sci,F,Interdisciplinary Arts & Sci.,TIAS,Interdisciplinary Arts & Sciences,TESC,120,B ,,6,1,Heller ,Jutta ,,4,,
